ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785576787.898333669,0,0,0,0,0,0,0,0,0,0,0,0,419947966,379193263,0,0,0,0,0,0,0,0,0
1785576788.920305493,0,0,0,0,0,0,0,0,0,0,0,0,419951030,379196304,0,0,0,0,0,0,0,0,0
1785576789.942938358,0,0,0,0,0,0,0,0,0,0,0,0,419954095,379199295,0,0,0,0,0,0,0,0,0
1785576790.965378013,0,0,0,0,0,0,0,0,0,0,0,0,419957161,379202347,0,0,0,0,0,0,0,0,0
1785576791.987227051,0,0,0,0,0,0,0,0,0,0,0,0,419960226,379205386,0,0,0,0,0,0,0,0,0
1785576793.009675102,0,0,0,0,0,0,0,0,0,0,0,0,419963293,379208376,0,0,0,0,0,0,0,0,0
1785576794.031986061,0,0,0,0,0,0,0,0,0,0,0,0,419966357,379211425,0,0,0,0,0,0,0,0,0
1785576795.053973333,0,0,0,0,0,0,0,0,0,0,0,0,419969422,379214447,0,0,0,0,0,0,0,0,0
1785576796.074791878,0,0,0,0,0,0,0,0,0,0,0,0,419972487,379217452,0,0,0,0,0,0,0,0,0
1785576797.095810730,0,0,0,0,0,0,0,0,0,0,0,0,419975547,379220475,0,0,0,0,0,0,0,0,0
1785576798.117644963,0,0,0,0,0,0,0,0,0,0,0,0,419978611,379223496,0,0,0,0,0,0,0,0,0
1785576799.137496853,0,0,0,0,0,0,0,0,0,0,0,0,419981671,379226498,0,0,0,0,0,0,0,0,0
1785576800.160348463,0,0,0,0,0,0,0,0,0,0,0,0,419984738,379229549,0,0,0,0,0,0,0,0,0
1785576801.182927141,0,0,0,0,0,0,0,0,0,0,0,0,419987804,379232554,0,0,0,0,0,0,0,0,0
1785576802.205157123,0,0,0,0,0,0,0,0,0,0,0,0,419990869,379235586,0,0,0,0,0,0,0,0,0
1785576803.228295283,0,0,0,0,0,0,0,0,0,0,0,0,419993937,379238638,0,0,0,0,0,0,0,0,0
1785576804.248674670,0,0,0,0,0,0,0,0,0,0,0,0,419996999,379241637,0,0,0,0,0,0,0,0,0
1785576805.269784620,0,0,0,0,0,0,0,0,0,0,0,0,420000066,379244667,0,0,0,0,0,0,0,0,0
1785576806.290959882,0,0,0,0,0,0,0,0,0,0,0,0,420003124,379247710,0,0,0,0,0,0,0,0,0
1785576807.307935730,0,0,0,0,0,0,0,0,0,0,0,0,420006177,379250661,0,0,0,0,0,0,0,0,0
1785576808.325176527,0,0,0,0,0,0,0,0,0,0,0,0,420009231,379253699,0,0,0,0,0,0,0,0,0
1785576809.346932494,0,0,0,0,0,0,0,0,0,0,0,0,420012291,379256742,0,0,0,0,0,0,0,0,0
1785576810.368956442,0,0,0,0,0,0,0,0,0,0,0,0,420015356,379259730,0,0,0,0,0,0,0,0,0
1785576811.390508393,0,0,0,0,0,0,0,0,0,0,0,0,420018418,379262774,0,0,0,0,0,0,0,0,0
1785576812.412527828,0,0,0,0,0,0,0,0,0,0,0,0,420021482,379265820,0,0,0,0,0,0,0,0,0
1785576813.435382142,0,0,0,0,0,0,0,0,0,0,0,0,420024550,379268806,0,0,0,0,0,0,0,0,0
1785576814.457423491,0,0,0,0,0,0,0,0,0,0,0,0,420027614,379271856,0,0,0,0,0,0,0,0,0
1785576815.479445147,0,0,0,0,0,0,0,0,0,0,0,0,420030682,379274903,0,0,0,0,0,0,0,0,0
1785576816.499336206,0,0,0,0,0,0,0,0,0,0,0,0,420033741,379277880,0,0,0,0,0,0,0,0,0
1785576817.519468186,0,0,0,0,0,0,0,0,0,0,0,0,420036800,379280902,0,0,0,0,0,0,0,0,0
1785576818.538352954,0,0,0,0,0,0,0,0,0,0,0,0,420039854,379283917,0,0,0,0,0,0,0,0,0
1785576819.561528627,0,0,0,0,0,0,0,0,0,0,0,0,420042923,379286927,0,0,0,0,0,0,0,0,0
1785576820.583348904,0,0,0,0,0,0,0,0,0,0,0,0,420045987,379289977,0,0,0,0,0,0,0,0,0
1785576821.602761937,0,0,0,0,0,0,0,0,0,0,0,0,420049045,379292995,0,0,0,0,0,0,0,0,0
1785576822.625051508,0,0,0,0,0,0,0,0,0,0,0,0,420052109,379296002,0,0,0,0,0,0,0,0,0
1785576823.647663966,0,0,0,0,0,0,0,0,0,0,0,0,420055176,379299053,0,0,0,0,0,0,0,0,0
1785576824.668794909,0,0,0,0,0,0,0,0,0,0,0,0,420058236,379302058,0,0,0,0,0,0,0,0,0
1785576825.691851390,0,0,0,0,0,0,0,0,0,0,0,0,420061302,379305085,0,0,0,0,0,0,0,0,0
1785576826.714276765,0,0,0,0,0,0,0,0,0,0,0,0,420064371,379308138,0,0,0,0,0,0,0,0,0
1785576827.735734105,0,0,0,0,0,0,0,0,0,0,0,0,420067434,379311127,0,0,0,0,0,0,0,0,0
1785576828.757860545,0,0,0,0,0,0,0,0,0,0,0,0,420070499,379314150,0,0,0,0,0,0,0,0,0
1785576829.781437743,0,0,0,0,0,0,0,0,0,0,0,0,420073567,379317204,0,0,0,0,0,0,0,0,0
1785576830.805100110,0,0,0,0,0,0,0,0,0,0,0,0,420076639,379320202,0,0,0,0,0,0,0,0,0
1785576831.827753955,0,0,0,0,0,0,0,0,0,0,0,0,420079706,379323242,0,0,0,0,0,0,0,0,0
1785576832.850308104,0,0,0,0,0,0,0,0,0,0,0,0,420082774,379326293,0,0,0,0,0,0,0,0,0
1785576833.873329480,0,0,0,0,0,0,0,0,0,0,0,0,420085840,379329290,0,0,0,0,0,0,0,0,0
1785576834.895650656,0,0,0,0,0,0,0,0,0,0,0,0,420088906,379332329,0,0,0,0,0,0,0,0,0
1785576835.916867403,0,0,0,0,0,0,0,0,0,0,0,0,420091969,379335373,0,0,0,0,0,0,0,0,0
1785576836.938447573,0,0,0,0,0,0,0,0,0,0,0,0,420095030,379338357,0,0,0,0,0,0,0,0,0
1785576837.960204392,0,0,0,0,0,0,0,0,0,0,0,0,420098092,379341384,0,0,0,0,0,0,0,0,0
1785576838.982017062,0,0,0,0,0,0,0,0,0,0,0,0,420101156,379344432,0,0,0,0,0,0,0,0,0
1785576840.003973190,0,0,0,0,0,0,0,0,0,0,0,0,420104222,379347415,0,0,0,0,0,0,0,0,0
1785576841.026222189,0,0,0,0,0,0,0,0,0,0,0,0,420107289,379350466,0,0,0,0,0,0,0,0,0
1785576842.047479386,0,0,0,0,0,0,0,0,0,0,0,0,420110352,379353495,0,0,0,0,0,0,0,0,0
1785576843.069424524,0,0,0,0,0,0,0,0,0,0,0,0,420113415,379356498,0,0,0,0,0,0,0,0,0
1785576844.091703634,0,0,0,0,0,0,0,0,0,0,0,0,420116480,379359549,0,0,0,0,0,0,0,0,0
