label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-Q1	1	176.8	13.098	13097540	0	29.9	21.73	0.0	78.3	4.62	17.12	14.12	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	502.84	481.2	954.8	108.95	393.27	0	0	100.00
SF3-Q1	2	177.5	10.821	9738600	1082067	29.9	22.72	0.0	122.2	9.50	13.22	9.98	0.61	0.03	9.12	0.0	31.3	0.53	8.25	0.35	6.77	0.93	630.74	596.4	1209.7	146.22	483.79	0	6	100.00
SF3-Q1	3	176.8	5.773	0	5773229	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.90	0.0	32.0	0.66	7.12	0.11	5.43	1.02	2250.10	2076.1	18446744073709552.0	425.49	1823.45	0	0	0.00
SF3-Q2	1	176.8	12.977	12976562	0	29.9	21.97	0.0	79.8	4.64	17.33	14.31	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	511.51	489.7	967.5	110.36	400.53	0	0	100.00
SF3-Q2	2	177.6	10.711	9639792	1071088	29.9	23.01	0.0	127.9	9.56	13.44	10.25	0.61	0.03	9.22	0.0	31.8	0.53	8.12	0.56	6.63	0.93	640.88	606.0	1232.0	147.36	492.79	0	6	100.00
SF3-Q2	3	177.9	5.722	0	5721702	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.94	0.0	32.2	0.65	7.18	0.11	5.50	1.01	2273.83	2094.4	18446744073709552.0	427.35	1845.32	0	0	0.00
SF3-Q4	1	177.9	12.731	12730544	0	29.9	22.36	0.0	83.1	4.73	17.63	14.66	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	527.98	507.7	972.2	112.23	415.12	0	0	100.00
SF3-Q4	2	176.6	10.613	9551915	1061324	29.9	23.18	0.0	135.2	9.58	13.60	10.56	0.61	0.03	9.02	0.0	31.3	0.51	7.91	0.59	6.45	0.91	648.89	614.3	1246.6	147.59	500.56	0	12	100.00
SF3-Q4	3	177.0	5.631	0	5631030	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.12	0.0	32.7	0.66	7.33	0.13	5.66	1.01	2314.24	2134.7	18446744073709552.0	434.87	1878.20	0	0	0.00
SF3-Q16	1	176.9	12.401	12400839	0	30.0	23.18	0.0	85.2	4.82	18.36	15.38	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	546.85	525.8	1017.6	115.81	430.41	0	0	100.00
SF3-Q16	2	177.7	10.372	9334708	1037190	29.9	23.72	0.0	141.8	9.73	13.99	10.99	0.60	0.03	9.22	0.0	31.6	0.55	7.90	0.78	6.44	0.90	667.51	632.9	1268.5	150.59	516.17	0	7	100.00
SF3-Q16	3	177.0	5.652	0	5652014	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.08	0.0	32.7	0.65	7.33	0.10	5.67	0.99	2308.81	2123.1	18446744073709552.0	433.04	1874.59	0	0	0.00
