ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785573611.052400011,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410440982,371286943,75301762,43650,188900,0,0,0,25871,0,0
1785573612.075728273,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410444052,371289991,75301762,43650,188900,0,0,0,25871,0,0
1785573613.101042490,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410447125,371292982,75301762,43650,188900,0,0,0,25871,0,0
1785573614.126065292,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410450198,371296026,75301762,43650,188900,0,0,0,25871,0,0
1785573615.150869800,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410453271,371299059,75301762,43650,188900,0,0,0,25871,0,0
1785573616.173430652,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410456340,371302038,75301762,43650,188900,0,0,0,25871,0,0
1785573617.197048251,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410459407,371305088,75301762,43650,188900,0,0,0,25871,0,0
1785573618.217903175,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410462470,371308108,75301762,43650,188900,0,0,0,25871,0,0
1785573619.243116888,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410465544,371311119,75301762,43650,188900,0,0,0,25871,0,0
1785573620.266372536,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410468615,371314172,75301762,43650,188900,0,0,0,25871,0,0
1785573621.288648865,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410471680,371317206,75301762,43650,188900,0,0,0,25871,0,0
1785573622.310579769,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410474743,371320195,75301762,43650,188900,0,0,0,25871,0,0
1785573623.332544995,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410477809,371323244,75301762,43650,188900,0,0,0,25871,0,0
1785573624.347845492,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410480859,371326225,75301762,43650,188900,0,0,0,25871,0,0
1785573625.369980933,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410483920,371329209,75301762,43650,188900,0,0,0,25871,0,0
1785573626.391942466,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410486986,371332258,75301762,43650,188900,0,0,0,25871,0,0
1785573627.414410779,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410490054,371335279,75301762,43650,188900,0,0,0,25871,0,0
1785573628.436884070,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410493118,371338286,75301762,43650,188900,0,0,0,25871,0,0
1785573629.457480887,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410496187,371341336,75301762,43650,188900,0,0,0,25871,0,0
1785573630.478859268,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410499244,371344333,75301762,43650,188900,0,0,0,25871,0,0
1785573631.500460373,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410502313,371347360,75301762,43650,188900,0,0,0,25871,0,0
1785573632.521922992,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410505377,371350408,75301762,43650,188900,0,0,0,25871,0,0
1785573633.544079973,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410508443,371353406,75301762,43650,188900,0,0,0,25871,0,0
1785573634.564091870,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410511509,371356433,75301762,43650,188900,0,0,0,25871,0,0
1785573635.586185104,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410514575,371359456,75301762,43650,188900,0,0,0,25871,0,0
1785573636.608913134,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410517643,371362446,75301762,43650,188900,0,0,0,25871,0,0
1785573637.631407493,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410520710,371365488,75301762,43650,188900,0,0,0,25871,0,0
1785573638.653767272,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410523776,371368538,75301762,43650,188900,0,0,0,25871,0,0
1785573639.675798550,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410526842,371371522,75301762,43650,188900,0,0,0,25871,0,0
1785573640.698110539,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410529907,371374571,75301762,43650,188900,0,0,0,25871,0,0
1785573641.720417522,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410532973,371377622,75301762,43650,188900,0,0,0,25871,0,0
1785573642.742527900,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410536041,371380604,75301762,43650,188900,0,0,0,25871,0,0
1785573643.764997509,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410539106,371383654,75301762,43650,188900,0,0,0,25871,0,0
1785573644.787462050,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410542174,371386696,75301762,43650,188900,0,0,0,25871,0,0
1785573645.810385370,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410545240,371389665,75301762,43650,188900,0,0,0,25871,0,0
1785573646.832843693,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410548306,371392715,75301762,43650,188900,0,0,0,25871,0,0
1785573647.857013434,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410551373,371395745,75301762,43650,188900,0,0,0,25871,0,0
1785573648.880130127,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410554445,371398756,75301762,43650,188900,0,0,0,25871,0,0
1785573649.903312929,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410557515,371401810,75301762,43650,188900,0,0,0,25871,0,0
1785573650.922755042,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410560578,371404830,75301762,43650,188900,0,0,0,25871,0,0
1785573651.944684376,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410563639,371407835,75301762,43650,188900,0,0,0,25871,0,0
1785573652.967899190,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410566708,371410887,75301762,43650,188900,0,0,0,25871,0,0
1785573653.990489877,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410569773,371413898,75301762,43650,188900,0,0,0,25871,0,0
1785573655.013504401,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410572841,371416918,75301762,43650,188900,0,0,0,25871,0,0
1785573656.037053498,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410575912,371419948,75301762,43650,188900,0,0,0,25871,0,0
1785573657.059210228,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410578977,371422950,75301762,43650,188900,0,0,0,25871,0,0
1785573658.079768730,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410582038,371425973,75301762,43650,188900,0,0,0,25871,0,0
1785573659.102690889,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410585105,371429025,75301762,43650,188900,0,0,0,25871,0,0
1785573660.125972858,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410588176,371432024,75301762,43650,188900,0,0,0,25871,0,0
1785573661.149507918,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410591247,371435062,75301762,43650,188900,0,0,0,25871,0,0
1785573662.173447956,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410594317,371438117,75301762,43650,188900,0,0,0,25871,0,0
1785573663.196016397,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410597382,371441098,75301762,43650,188900,0,0,0,25871,0,0
1785573664.216729106,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410600447,371444145,75301762,43650,188900,0,0,0,25871,0,0
1785573665.240127865,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410603516,371447198,75301762,43650,188900,0,0,0,25871,0,0
1785573666.263756390,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410606586,371450167,75301762,43650,188900,0,0,0,25871,0,0
1785573667.286464122,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410609653,371453219,75301762,43650,188900,0,0,0,25871,0,0
1785573668.308266439,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410612719,371456267,75301762,43650,188900,0,0,0,25871,0,0
1785573669.331395547,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410615785,371459254,75301762,43650,188900,0,0,0,25871,0,0
1785573670.354836322,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410618856,371462309,75301762,43650,188900,0,0,0,25871,0,0
1785573671.377426171,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410621921,371465343,75301762,43650,188900,0,0,0,25871,0,0
1785573672.401061661,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410624992,371468346,75301762,43650,188900,0,0,0,25871,0,0
1785573673.424069911,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410628063,371471399,75301762,43650,188900,0,0,0,25871,0,0
1785573674.446919543,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410631128,371474422,75301762,43650,188900,0,0,0,25871,0,0
1785573675.470647071,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410634201,371477433,75301762,43650,188900,0,0,0,25871,0,0
1785573676.493744837,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410637270,371480463,75301762,43650,188900,0,0,0,25871,0,0
1785573677.516849494,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410640337,371483481,75301762,43650,188900,0,0,0,25871,0,0
1785573678.542350064,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410643412,371486505,75301762,43650,188900,0,0,0,25871,0,0
1785573679.564792600,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410646487,371489562,75301762,43650,188900,0,0,0,25871,0,0
1785573680.588527604,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410649549,371492563,75301762,43650,188900,0,0,0,25871,0,0
1785573681.612064082,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410652618,371495596,75301762,43650,188900,0,0,0,25871,0,0
1785573682.636206499,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,410655689,371498651,75301762,43650,188900,0,0,0,25871,0,0
