label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
E0-DEM0	1	28.7	0.562	562376	0	22.4	17.69	0.0	129.4	6.88	10.81	0.00	0.00	0.00	0.00	0.0	722.7	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.00	0.00	0	0	100.00
E0-DEM0	2	29.7	7.934	7933779	0	24.3	23.10	0.0	75.3	4.75	18.35	0.00	0.00	0.00	0.00	0.0	722.7	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.00	0.00	0	0	100.00
E0-DEM0	3	28.7	7.919	7918506	0	24.2	23.10	0.0	73.7	4.80	18.30	0.00	0.00	0.00	0.00	0.0	722.7	0.00	0.00	0.00	0.00	0.00	0.00	0.0	0.0	0.00	0.00	0	0	100.00
E0-DEM4	1	28.7	0.571	570959	0	22.2	23.53	0.0	156.9	9.85	13.68	10.74	1.72	0.04	0.00	0.0	739.3	0.00	0.00	0.00	0.00	0.00	47.56	38.4	606.4	0.31	45.17	0	0	100.00
E0-DEM4	2	29.6	7.278	7277614	0	22.8	25.19	0.0	95.7	5.99	19.20	15.80	0.67	0.04	0.00	0.0	739.3	0.00	0.00	0.00	0.00	0.00	173.30	149.5	690.9	27.19	145.39	0	0	100.00
E0-DEM16	1	27.9	0.574	574211	0	22.6	22.73	0.0	144.9	9.46	13.27	10.45	1.66	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	46.08	36.1	214.6	0.29	43.78	0	0	100.00
E0-DEM16	2	27.8	7.429	7429334	0	23.2	24.82	0.0	86.4	5.71	19.11	15.66	0.68	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	168.58	151.5	656.0	26.67	141.21	0	0	100.00
E0-DEM64	1	27.9	0.574	574107	0	22.0	22.83	0.0	151.3	9.50	13.33	10.49	1.68	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	46.96	37.0	226.6	0.30	44.57	0	0	100.00
E0-DEM64	2	26.8	7.565	7565246	0	23.3	25.36	0.0	89.8	6.21	19.15	15.74	0.67	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	166.69	147.3	673.8	27.04	138.94	0	0	100.00
GATE	1	27.8	7.890	7889561	0	23.8	22.70	0.0	69.0	3.88	18.82	15.41	0.64	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	136.15	114.0	584.9	25.19	110.25	0	0	100.00
GATE	2	116.8	13.307	13307243	0	29.9	21.44	0.0	77.9	4.47	16.97	13.99	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	513.37	491.9	957.5	109.24	403.55	0	0	100.00
GATE	3	117.7	10.878	9790194	1087799	29.9	22.69	0.0	129.3	9.35	13.34	10.25	0.62	0.03	9.14	0.0	31.7	0.49	8.00	0.65	6.52	0.92	631.54	597.8	1209.5	144.50	486.34	0	7	100.00
GATE	4	117.5	5.742	0	5741809	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.95	0.0	32.5	0.64	7.20	0.11	5.52	1.01	2264.80	2064.7	18446744073709552.0	426.74	1836.93	0	0	0.00
GATE	5	28.1	5.676	0	5676211	29.5	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.96	0.0	32.2	0.64	7.20	0.11	5.53	1.01	2267.18	2076.6	18446744073709552.0	427.28	1838.76	0	0	0.00
E4-C1R8	1	27.9	11.366	11366393	0	29.9	14.08	0.0	47.7	0.11	13.97	10.98	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	656.83	628.9	1252.2	135.64	520.61	0	0	100.00
E4-C1R8	2	27.9	9.653	8687469	965274	29.8	11.68	0.0	39.2	0.18	11.49	8.83	0.67	0.02	9.64	0.0	36.7	0.48	8.35	0.81	6.96	0.86	757.36	711.9	1572.2	171.35	585.31	0	1	100.00
E4-C1R8	3	27.0	5.733	0	5733138	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.97	0.0	32.0	0.64	7.21	0.11	5.53	1.01	2272.92	2088.0	18446744073709552.0	427.91	1843.85	0	0	0.00
