C1-64-GET-r1|10.027|0.67100|2.35100|4.60700|10026927/0|06:25:09|06:27:09|--key-pattern=R:R|0:1
C1-64-MIX-r1|8.541|0.79900|2.76700|4.89500|7687237/0|06:27:36|06:29:36|--key-pattern=R:R|1:9
C1-64-SET-r1|5.603|1.32700|2.28700|5.27900|0/0|06:30:03|06:32:03|--key-pattern=R:R|1:0
C1-384-GET-r1|13.022|3.23100|6.30300|10.75100|13022030/0|06:32:30|06:34:30|--key-pattern=R:R|0:1
C1-384-MIX-r1|10.115|4.25500|9.79100|13.63100|9103411/0|06:34:56|06:36:56|--key-pattern=R:R|1:9
C1-384-SET-r1|5.754|7.80700|12.28700|16.76700|0/0|06:37:23|06:39:23|--key-pattern=R:R|1:0
A16-1-GET-r1|12.737|2.30300|4.15900|7.48700|12737092/0|06:43:11|06:45:12|--key-pattern=R:R|0:1
A16-1-MIX-r1|10.670|2.76700|4.95900|8.44700|9603349/0|06:45:38|06:47:38|--key-pattern=R:R|1:9
A16-1-SET-r1|5.791|4.35100|9.21500|13.82300|0/0|06:48:05|06:50:05|--key-pattern=R:R|1:0
A16-2-GET-r1|12.895|2.25500|4.35100|7.51900|12895199/0|06:52:36|06:54:36|--key-pattern=R:R|0:1
