cell	start_utc	end_utc	pipe	ratio	dur	ops_M	avg	p50	p99	p999
E0-DEM0-P1	2026-08-05T17:09:28Z	2026-08-05T17:09:58Z	1	0:1	30	0.562	0.21147	0.19100	0.57500	0.99900
E0-DEM0-P32	2026-08-05T17:11:46Z	2026-08-05T17:12:48Z	32	0:1	30	7.913	0.45648	0.38300	1.61500	2.78300
E0-DEM4-P1	2026-08-05T17:21:32Z	2026-08-05T17:22:02Z	1	0:1	30	0.572	0.20786	0.18300	0.56700	0.96700
E0-DEM4-P32	2026-08-05T17:22:27Z	2026-08-05T17:22:58Z	32	0:1	30	7.271	0.50018	0.43900	1.45500	2.25500
E0-DEM16-P1	2026-08-05T17:27:08Z	2026-08-05T17:27:38Z	1	0:1	30	0.573	0.20721	0.19100	0.52700	0.80700
E0-DEM16-P32	2026-08-05T17:28:02Z	2026-08-05T17:28:34Z	32	0:1	30	7.466	0.48657	0.43100	1.38300	2.00700
E0-DEM64-P1	2026-08-05T17:31:33Z	2026-08-05T17:32:03Z	1	0:1	30	0.578	0.20558	0.18300	0.53500	0.83100
E0-DEM64-P32	2026-08-05T17:32:27Z	2026-08-05T17:32:58Z	32	0:1	30	7.548	0.47954	0.41500	1.46300	2.35100
E0-DEM0-P32-r2	2026-08-05T17:36:35Z	2026-08-05T17:37:05Z	32	0:1	30	7.870	0.46109	0.39100	1.50300	2.44700
GATE-GET	2026-08-05T17:37:29Z	2026-08-05T17:39:30Z	256	0:1	120	13.309	2.27451	2.19100	4.06300	7.23100
GATE-MIX	2026-08-05T17:39:54Z	2026-08-05T17:41:54Z	256	1:9	120	10.877	2.78460	2.70300	4.89500	8.12700
GATE-SET	2026-08-05T17:42:18Z	2026-08-05T17:44:19Z	256	1:0	120	5.751	5.28256	4.51100	9.91900	13.95100
GATE-SET-ramp	2026-08-05T17:44:56Z	2026-08-05T17:45:28Z	256	1:0	30	5.741	5.29152	4.35100	9.21500	13.82300
E4-C1R8-GET	2026-08-05T17:52:36Z	2026-08-05T17:53:06Z	256	0:1	30	11.343	2.66398	2.44700	5.02300	8.70300
E4-C1R8-MIX	2026-08-05T17:53:30Z	2026-08-05T17:54:00Z	256	1:9	30	9.688	3.13077	2.95900	5.69500	9.27900
E4-C1R8-SET	2026-08-05T18:02:46Z	2026-08-05T18:03:16Z	256	1:0	30	5.734	5.29885	4.35100	9.15100	13.69500
E4-C2R8-GET	2026-08-05T18:05:22Z	2026-08-05T18:05:52Z	256	0:1	30	12.113	2.49093	2.38300	4.60700	8.15900
E4-C2R8-MIX	2026-08-05T18:06:16Z	2026-08-05T18:06:46Z	256	1:9	30	10.173	2.97952	2.87900	5.37500	9.02300
E4-C2R8-SET	2026-08-05T18:07:10Z	2026-08-05T18:07:40Z	256	1:0	30	5.675	5.35378	4.35100	9.40700	14.65500
E4-C4R8-GET	2026-08-05T18:09:55Z	2026-08-05T18:10:25Z	256	0:1	30	12.717	2.36882	2.28700	4.25500	7.61500
E4-C4R8-MIX	2026-08-05T18:10:49Z	2026-08-05T18:11:19Z	256	1:9	30	10.591	2.86044	2.78300	5.11900	8.63900
E4-C4R8-SET	2026-08-05T18:11:43Z	2026-08-05T18:12:13Z	256	1:0	30	5.708	5.32235	4.31900	9.27900	14.27100
E4-C8R8-GET	2026-08-05T18:14:02Z	2026-08-05T18:14:32Z	256	0:1	30	12.695	2.37287	2.25500	5.79100	11.64700
E4-C8R8-MIX	2026-08-05T18:14:56Z	2026-08-05T18:15:26Z	256	1:9	30	10.794	2.80539	2.71900	4.95900	8.63900
E4-C8R8-SET	2026-08-05T18:15:50Z	2026-08-05T18:16:20Z	256	1:0	30	5.714	5.31727	4.35100	9.34300	14.78300
E4-C12R8-GET	2026-08-05T18:18:38Z	2026-08-05T18:19:08Z	256	0:1	30	13.149	2.28837	2.22300	3.99900	7.29500
E4-C12R8-MIX	2026-08-05T18:19:32Z	2026-08-05T18:20:02Z	256	1:9	30	10.768	2.81176	2.73500	4.95900	8.38300
E4-C12R8-SET	2026-08-05T18:20:26Z	2026-08-05T18:20:56Z	256	1:0	30	5.713	5.31815	4.31900	9.34300	14.20700
E4-C16R8-GET	2026-08-05T18:31:12Z	2026-08-05T18:31:42Z	256	0:1	30	13.058	2.30391	2.23900	4.19100	7.29500
E4-C16R8-MIX	2026-08-05T18:32:06Z	2026-08-05T18:32:36Z	256	1:9	30	10.773	2.81090	2.73500	4.89500	8.38300
E4-C16R8-SET	2026-08-05T18:33:00Z	2026-08-05T18:33:30Z	256	1:0	30	5.712	5.31856	4.38300	9.53500	14.39900
E4-C8R1-GET	2026-08-05T18:35:32Z	2026-08-05T18:36:02Z	256	0:1	30	10.554	2.87152	2.70300	5.59900	9.21500
E4-C8R1-MIX	2026-08-05T18:36:27Z	2026-08-05T18:36:57Z	256	1:9	30	9.364	3.24017	3.08700	5.88700	10.04700
E4-C8R1-SET	2026-08-05T18:37:21Z	2026-08-05T18:37:51Z	256	1:0	30	5.709	5.32143	4.54300	9.47100	14.27100
E4-C8R2-GET	2026-08-05T18:40:10Z	2026-08-05T18:40:40Z	256	0:1	30	11.619	2.59963	2.51100	4.60700	8.09500
E4-C8R2-MIX	2026-08-05T18:41:04Z	2026-08-05T18:41:34Z	256	1:9	30	10.026	3.02406	2.94300	5.24700	8.83100
E4-C8R2-SET	2026-08-05T18:41:58Z	2026-08-05T18:42:28Z	256	1:0	30	5.736	5.29626	4.38300	9.27900	14.07900
E4-C8R4-GET	2026-08-05T18:44:45Z	2026-08-05T18:45:15Z	256	0:1	30	12.491	2.41310	2.35100	4.22300	7.35900
E4-C8R4-MIX	2026-08-05T18:45:39Z	2026-08-05T18:46:09Z	256	1:9	30	10.614	2.85388	2.78300	4.92700	8.31900
E4-C8R4-SET	2026-08-05T18:46:33Z	2026-08-05T18:47:03Z	256	1:0	30	5.699	5.33162	4.38300	9.53500	14.27100
E4-C8R12-GET	2026-08-05T18:48:52Z	2026-08-05T18:49:22Z	256	0:1	30	13.100	2.29773	2.22300	4.04700	7.16700
E4-C8R12-MIX	2026-08-05T18:49:46Z	2026-08-05T18:50:16Z	256	1:9	30	10.721	2.82487	2.75100	4.92700	8.19100
E4-C8R12-SET	2026-08-05T18:50:40Z	2026-08-05T18:51:11Z	256	1:0	30	5.721	5.31022	4.54300	9.59900	14.59100
E4-C8R8-r2-W1	2026-08-05T18:53:56Z	2026-08-05T18:54:26Z	256	0:1	30	13.159	2.28552	2.22300	4.06300	7.35900
E4-C8R8-r2-W2	2026-08-05T18:54:50Z	2026-08-05T18:55:20Z	256	1:9	30	10.931	2.76896	2.70300	4.79900	8.25500
BD2-GET-P1	2026-08-05T18:56:13Z	2026-08-05T18:57:13Z	1	0:1	60	0.578	0.20568	0.18300	0.54300	0.83100
BD2-GET-P8	2026-08-05T18:57:37Z	2026-08-05T18:58:37Z	8	0:1	60	3.400	0.27227	0.21500	1.00700	1.62300
BD2-GET-P32	2026-08-05T18:59:01Z	2026-08-05T19:00:01Z	32	0:1	60	7.552	0.48118	0.40700	1.55900	2.44700
BD2-GET-P64	2026-08-05T19:00:25Z	2026-08-05T19:01:25Z	64	0:1	60	10.086	0.72904	0.67900	2.09500	4.67100
BD2-GET-P128	2026-08-05T19:01:49Z	2026-08-05T19:02:49Z	128	0:1	60	12.358	1.19653	1.15900	2.63900	5.63100
BD2-GET-P256	2026-08-05T19:03:13Z	2026-08-05T19:04:13Z	256	0:1	60	13.173	2.28442	2.20700	4.15900	7.26300
BD2-GET-P384	2026-08-05T19:04:37Z	2026-08-05T19:05:38Z	384	0:1	60	13.141	3.45830	3.19900	6.30300	10.81500
BD2-MIX-P1	2026-08-05T19:06:02Z	2026-08-05T19:07:02Z	1	1:9	60	0.565	0.21040	0.18300	0.57500	0.96700
BD2-MIX-P8	2026-08-05T19:07:26Z	2026-08-05T19:08:26Z	8	1:9	60	3.311	0.28069	0.22300	1.10300	1.86300
BD2-MIX-P32	2026-08-05T19:08:50Z	2026-08-05T19:09:50Z	32	1:9	60	7.012	0.52124	0.43900	1.80700	2.97500
BD2-MIX-P64	2026-08-05T19:10:14Z	2026-08-05T19:11:14Z	64	1:9	60	8.588	0.85520	0.81500	2.33500	4.86300
BD2-MIX-P128	2026-08-05T19:11:38Z	2026-08-05T19:12:38Z	128	1:9	60	10.357	1.44036	1.43100	2.38300	5.43900
BD2-MIX-P256	2026-08-05T19:13:02Z	2026-08-05T19:14:02Z	256	1:9	60	10.843	2.79272	2.70300	4.79900	8.03100
BD2-MIX-P384	2026-08-05T19:14:26Z	2026-08-05T19:15:26Z	384	1:9	60	10.169	4.48675	4.22300	9.85500	13.31100
V16-W1	2026-08-05T20:08:06Z	2026-08-05T20:08:36Z	256	0:1	30	14.503	2.03292	1.97500	3.63100	6.81500
V16-W2	2026-08-05T20:09:00Z	2026-08-05T20:09:30Z	256	1:9	30	11.616	2.56907	2.51100	4.41500	7.64700
V16-W3	2026-08-05T20:09:54Z	2026-08-05T20:10:24Z	256	1:0	30	6.132	4.92965	4.92700	7.64700	11.71100
V32-W1	2026-08-05T20:15:29Z	2026-08-05T20:15:59Z	256	0:1	30	14.226	2.09209	2.04700	3.67900	6.75100
V32-W2	2026-08-05T20:16:23Z	2026-08-05T20:16:53Z	256	1:9	30	11.463	2.62228	2.57500	4.51100	7.74300
V32-W3	2026-08-05T20:17:17Z	2026-08-05T20:17:47Z	256	1:0	30	6.104	4.95319	4.95900	7.77500	11.77500
V-A-B3-W1	2026-08-05T20:20:13Z	2026-08-05T20:20:43Z	256	0:1	30	11.001	2.74578	2.59100	6.04700	8.95900
V-A-B3-W2	2026-08-05T20:21:07Z	2026-08-05T20:21:37Z	256	1:9	30	9.532	3.18613	2.97500	7.19900	10.75100
V-A-B20-W1	2026-08-05T20:23:28Z	2026-08-05T20:23:59Z	256	0:1	30	11.063	2.72948	2.59100	5.79100	8.76700
V-A-B20-W2	2026-08-05T20:24:23Z	2026-08-05T20:24:53Z	256	1:9	30	9.606	3.16132	2.95900	6.94300	9.98300
