ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields,srvc,srva,srvp50,srvp99,quec,quea,bkc,bka,rxfer,rcrypto,rsync,wxfer,wcrypto,wsync,rp50,wp50
1785950292.294647798,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648206221,624264961,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055480,133356,112400,581900,493055480,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950293.320168437,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648209297,624268031,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055482,133356,112400,581900,493055482,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950294.345075167,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648212372,624271102,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055484,133356,112400,581900,493055484,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950295.370554765,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648215449,624274173,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055486,133356,112400,581900,493055486,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950296.395077739,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648218520,624277237,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055488,133356,112400,581900,493055488,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950297.420603227,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648221596,624280212,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055490,133356,112400,581900,493055490,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950298.445578942,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648224671,624283224,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055492,133356,112400,581900,493055492,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950299.471785370,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648227749,624286297,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055494,133356,112400,581900,493055494,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950300.497409769,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648230824,624289368,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055496,133356,112400,581900,493055496,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950301.523782820,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648233904,624292443,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055498,133356,112400,581900,493055498,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950302.550137234,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648236983,624295516,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055500,133356,112400,581900,493055500,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950303.578617017,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648240064,624298482,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055502,133356,112400,581900,493055502,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950304.605785733,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648243145,624301534,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055504,133356,112400,581900,493055504,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950305.631713918,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648246221,624304606,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055506,133356,112400,581900,493055506,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950306.657129822,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648249298,624307678,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055508,133356,112400,581900,493055508,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950307.681786744,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648252372,624310723,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055510,133356,112400,581900,493055510,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950308.704104894,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648255442,624313783,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055512,133356,112400,581900,493055512,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950309.729120722,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648258514,624316720,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055514,133356,112400,581900,493055514,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950310.754419555,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648261591,624319791,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055516,133356,112400,581900,493055516,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950311.779722194,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648264669,624322863,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055518,133356,112400,581900,493055518,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950312.805874097,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648267744,624325935,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055520,133356,112400,581900,493055520,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950313.831701984,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648270820,624329007,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055522,133356,112400,581900,493055522,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950314.854252586,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648273893,624332027,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055524,133356,112400,581900,493055524,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950315.877844828,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648276961,624335007,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055526,133356,112400,581900,493055526,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950316.903264936,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648280037,624338078,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055528,133356,112400,581900,493055528,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950317.929274087,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648283115,624341132,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055530,133356,112400,581900,493055530,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950318.955275717,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648286192,624344199,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055532,133356,112400,581900,493055532,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950319.980718619,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648289269,624347271,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055534,133356,112400,581900,493055534,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950321.004298456,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648292339,624350248,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055536,133356,112400,581900,493055536,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950322.030638545,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648295416,624353275,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055538,133356,112400,581900,493055538,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950323.056994134,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648298496,624356349,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055540,133356,112400,581900,493055540,25976,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950324.083646515,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648301576,624359424,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055542,133356,112400,581900,493055542,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950325.109753954,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648304653,624362496,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055544,133356,112400,581900,493055544,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950326.136108613,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648307731,624365569,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055546,133356,112400,581900,493055546,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950327.160769358,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648310804,624368515,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055548,133356,112400,581900,493055548,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950328.187012904,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648313881,624371563,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055550,133356,112400,581900,493055550,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950329.212836258,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648316958,624374623,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055552,133356,112400,581900,493055552,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950330.238834545,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648320036,624377696,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055554,133356,112400,581900,493055554,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950331.264225743,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648323112,624380767,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055556,133356,112400,581900,493055556,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950332.282537092,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648326172,624383816,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055558,133356,112400,581900,493055558,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950333.304506084,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648329229,624386744,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055560,133356,112400,581900,493055560,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950334.328531716,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648332299,624389810,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055562,133356,112400,581900,493055562,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950335.356887299,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648335386,624392890,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055564,133357,112400,581900,493055564,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950336.381987197,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648338461,624395962,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055566,133357,112400,581900,493055566,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950337.407977506,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648341538,624399034,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055568,133357,112400,581900,493055568,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950338.432185731,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648344611,624402050,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055570,133357,112400,581900,493055570,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950339.458283823,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648347688,624404940,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055572,133357,112400,581900,493055572,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950340.484866622,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648350768,624408015,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055574,133357,112400,581900,493055574,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950341.510547968,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648353844,624411085,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055576,133357,112400,581900,493055576,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950342.536051288,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648356921,624414158,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055578,133357,112400,581900,493055578,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950343.561743121,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648359997,624417228,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055580,133357,112400,581900,493055580,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950344.584042695,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648363064,624420244,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055582,133357,112400,581900,493055582,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950345.610116881,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648366142,624423229,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055584,133357,112400,581900,493055584,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950346.636043909,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648369219,624426302,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055586,133357,112400,581900,493055586,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950347.659432299,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648372289,624429367,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055588,133357,112400,581900,493055588,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950348.685530933,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648375368,624432441,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055590,133357,112400,581900,493055590,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950349.711349929,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648378444,624435488,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055592,133357,112400,581900,493055592,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950350.734933151,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648381517,624438462,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055594,133357,112400,581900,493055594,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
1785950351.761224686,492053927,1000064,492053927,0,492053927,18086,58000,1000064,31304,512000,0,0,648384595,624441488,492053927,22939,73700,1000064,53549,722700,4852,22009,234,31,0,493055596,133357,112400,581900,493055596,25977,493053991,106601,14748,702,37,27786,1884,16,14500,9400
